name,cik,sic_code,sic_description,ticker,exchange,state,city,s1_filing_date,founding_date,founded_since_2000
"2seventy bio, Inc.",0001860782,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2022-04-28,,
3 DIMENSIONAL PHARMACEUTICALS INC,0000914201,2834,Pharmaceutical Preparations,,,PA,EXTON,2000-05-23,,
"60 DEGREES PHARMACEUTICALS, INC.",0001946563,2834,Pharmaceutical Preparations,SXTP,Nasdaq,DC,WASHINGTON,2023-01-31,2022-06-01,True
"89bio, Inc.",0001785173,2834,Pharmaceutical Preparations,ETNB,,CA,SAN FRANCISCO,2019-10-11,2018-01-01,True
"9 METERS BIOPHARMA, INC.",0001551986,2834,Pharmaceutical Preparations,,,NC,RALEIGH,2015-11-10,2010-11-01,True
"Aardvark Therapeutics, Inc.",0001774857,2834,Pharmaceutical Preparations,AARD,Nasdaq,CA,SAN DIEGO,2025-01-23,2024-10-01,True
AbCellera Biologics Inc.,0001703057,2834,Pharmaceutical Preparations,ABCL,Nasdaq,A1,VANCOUVER,2020-11-20,2008-01-01,True
ABEONA THERAPEUTICS INC.,0000318306,2834,Pharmaceutical Preparations,ABEO,Nasdaq,OH,CLEVELAND,2008-03-11,2005-02-01,True
Abpro Corp,0001670356,2834,Pharmaceutical Preparations,,,MA,WOBURN,2018-04-11,2004-08-01,True
"ABVC BIOPHARMA, INC.",0001173313,2834,Pharmaceutical Preparations,ABVC,Nasdaq,CA,FREMONT,2009-06-23,1990-03-12,False
"Accelerated Pharma, Inc.",0001630970,2834,Pharmaceutical Preparations,,,IL,BURR RIDGE,2016-10-11,2014-05-01,True
ACCENTIA BIOPHARMACEUTICALS INC,0001310094,2834,Pharmaceutical Preparations,,,FL,TAMPA,2005-02-11,1997-01-01,False
Accustem Sciences Inc.,0001850767,2834,Pharmaceutical Preparations,ACUT,OTC,NY,NEW YORK,2022-11-17,2021-07-28,True
"ACELYRIN, Inc.",0001962918,2834,Pharmaceutical Preparations,,,CA,AGOURA HILLS,2023-04-13,,
Acer Therapeutics Inc.,0001069308,2834,Pharmaceutical Preparations,,,MA,NEWTON,2012-12-28,1991-03-01,False
"Achaogen, Inc.",0001301501,2834,Pharmaceutical Preparations,,,CA,SOUTH SAN FRANCISCO,2014-01-24,,
ACHILLION PHARMACEUTICALS INC,0001070336,2834,Pharmaceutical Preparations,,,CT,NEW HAVEN,2006-03-31,1998-08-01,False
"Aclaris Therapeutics, Inc.",0001557746,2834,Pharmaceutical Preparations,ACRS,Nasdaq,PA,WAYNE,2015-08-17,2012-01-01,True
"Acologix, Inc.",0001372411,2834,Pharmaceutical Preparations,,,CA,HAYWARD,2006-08-16,1992-05-01,False
"Acrivon Therapeutics, Inc.",0001781174,2834,Pharmaceutical Preparations,ACRV,Nasdaq,MA,WATERTOWN,2022-10-17,2018-03-01,True
