name,cik,sic_code,sic_description,ticker,exchange,state,city,s1_filing_date,founding_date,founded_since_2000
"60 DEGREES PHARMACEUTICALS, INC.",0001946563,2834,Pharmaceutical Preparations,SXTP,Nasdaq,DC,WASHINGTON,2023-01-31,2022-06-01,True
"89bio, Inc.",0001785173,2834,Pharmaceutical Preparations,ETNB,,CA,SAN FRANCISCO,2019-10-11,2018-01-01,True
"9 METERS BIOPHARMA, INC.",0001551986,2834,Pharmaceutical Preparations,,,NC,RALEIGH,2015-11-10,2010-11-01,True
"Aardvark Therapeutics, Inc.",0001774857,2834,Pharmaceutical Preparations,AARD,Nasdaq,CA,SAN DIEGO,2025-01-23,2024-10-01,True
AbCellera Biologics Inc.,0001703057,2834,Pharmaceutical Preparations,ABCL,Nasdaq,A1,VANCOUVER,2020-11-20,2008-01-01,True
ABEONA THERAPEUTICS INC.,0000318306,2834,Pharmaceutical Preparations,ABEO,Nasdaq,OH,CLEVELAND,2008-03-11,2005-02-01,True
Abpro Corp,0001670356,2834,Pharmaceutical Preparations,,,MA,WOBURN,2018-04-11,2004-08-01,True
"Accelerated Pharma, Inc.",0001630970,2834,Pharmaceutical Preparations,,,IL,BURR RIDGE,2016-10-11,2014-05-01,True
Accustem Sciences Inc.,0001850767,2834,Pharmaceutical Preparations,ACUT,OTC,NY,NEW YORK,2022-11-17,2021-07-28,True
"Aclaris Therapeutics, Inc.",0001557746,2834,Pharmaceutical Preparations,ACRS,Nasdaq,PA,WAYNE,2015-08-17,2012-01-01,True
"Acrivon Therapeutics, Inc.",0001781174,2834,Pharmaceutical Preparations,ACRV,Nasdaq,MA,WATERTOWN,2022-10-17,2018-03-01,True
"ACTAVIA LIFE SCIENCES, INC.",0001582249,2834,Pharmaceutical Preparations,,,NY,NEW YORK,2013-09-11,2012-12-06,True
"Actinium Pharmaceuticals, Inc.",0001388320,2834,Pharmaceutical Preparations,ATNM,NYSE,NY,NEW YORK,2013-03-15,2000-06-13,True
Adamas Pharmaceuticals Inc,0001328143,2834,Pharmaceutical Preparations,,,CA,EMERYVILLE,2014-03-05,2000-11-01,True
"Adgero Biopharmaceuticals Holdings, Inc.",0001657598,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2017-02-14,2004-01-01,True
"Adhera Therapeutics, Inc.",0000737207,2834,Pharmaceutical Preparations,ATRX,OTC,NC,WAKE FOREST,2011-03-25,2008-01-01,True
