name,cik,sic_code,sic_description,ticker,exchange,state,city,s1_filing_date,founding_date,founded_since_2000,recovery_pattern
"2seventy bio, Inc.",0001860782,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2022-04-28,2021-04-26,True,incorporated_nearby_date
"Achaogen, Inc.",0001301501,2834,Pharmaceutical Preparations,,,CA,SOUTH SAN FRANCISCO,2014-01-24,2002-01-01,True,state_year
"ACTUATE THERAPEUTICS, INC.",0001652935,2834,Pharmaceutical Preparations,ACTU,Nasdaq,TX,FORT WORTH,2024-05-24,2015-01-01,True,originally_incorporated
"ACURA PHARMACEUTICALS, INC",0000786947,2834,Pharmaceutical Preparations,,,IL,PALATINE,2017-02-03,1935-01-01,False,state_year
"Adams Respiratory Therapeutics, Inc.",0001319439,2834,Pharmaceutical Preparations,,,NJ,CHESTER,2005-03-25,1997-01-01,False,commenced_year
AGILE THERAPEUTICS INC,0001261249,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2014-03-17,1997-01-01,False,state_year
"Akouos, Inc.",0001722271,2834,Pharmaceutical Preparations,,,MA,BOSTON,2020-06-05,2016-01-01,True,commenced_year
ALX ONCOLOGY HOLDINGS INC,0001810182,2834,Pharmaceutical Preparations,ALXO,Nasdaq,CA,SOUTH SAN FRANCISCO,2020-06-26,2015-01-01,True,state_year
"ALZHEON, INC.",0001582636,2834,Pharmaceutical Preparations,,,MA,FRAMINGHAM,2018-03-16,2013-01-01,True,state_year
"Annovis Bio, Inc.",0001477845,2834,Pharmaceutical Preparations,ANVS,NYSE,PA,MALVERN,2019-07-03,2008-01-01,True,state_year
ANTERIOS INC,0001390085,2834,Pharmaceutical Preparations,,,NY,NEW YORK,2015-03-31,2006-01-01,True,commenced_year
"Atreca, Inc.",0001532346,2834,Pharmaceutical Preparations,,,CA,SAN CARLOS,2019-05-24,2010-01-01,True,state_year
"Avidity Biosciences, Inc.",0001599901,2834,Pharmaceutical Preparations,RNA,Nasdaq,CA,SAN DIEGO,2020-05-22,2012-01-01,True,commenced_year
"AXIM BIOTECHNOLOGIES, INC.",0001514946,2834,Pharmaceutical Preparations,AXIM,OTC,CA,SAN DIEGO,2021-05-14,2010-11-18,True,state_on_date
"Ayala Pharmaceuticals, Inc.",0001100397,2834,Pharmaceutical Preparations,,,NJ,MONMOUTH JUNCTION,2011-11-23,1987-06-05,False,incorporated_nearby_date
"Baudax Bio, Inc.",0001780097,2834,Pharmaceutical Preparations,,,PA,MALVERN,2022-08-03,2015-01-01,True,state_year
Bio Essence Corp,0001723059,2834,Pharmaceutical Preparations,BIOE,OTC,CA,IRVINE,2019-07-26,2010-04-20,True,state_on_date
BIONOVO INC,0001203957,2834,Pharmaceutical Preparations,,,CA,EMERYVILLE,2009-09-10,2002-01-01,True,commenced_year
BIOVEST INTERNATIONAL INC,0000704384,2834,Pharmaceutical Preparations,,,FL,TAMPA,2012-03-30,1981-01-01,False,state_year
"BridgeBio Oncology Therapeutics, Inc.",0001869105,2834,Pharmaceutical Preparations,BBOT,Nasdaq,CA,SOUTH SAN FRANCISCO,2024-01-18,2021-06-15,True,on_full_date
"BullFrog AI Holdings, Inc.",0001829247,2834,Pharmaceutical Preparations,BFRG,Nasdaq,MD,GAITHERSBURG,2022-10-19,2020-02-06,True,incorporated_nearby_date
