name,cik,sic_code,s1_filing_date
3 DIMENSIONAL PHARMACEUTICALS INC,0000914201,2834,2000-05-23
"ACELYRIN, Inc.",0001962918,2834,2023-04-13
"Acurx Pharmaceuticals, Inc.",0001736243,2834,2021-05-27
"ADNEXUS THERAPEUTICS, INC.",0001226847,2834,2007-08-21
ADOLOR CORP,0001076167,2834,2000-02-08
ADVANCED NUTRACEUTICALS INC,0001070270,2834,1998-09-16
ADVANCED VIRAL RESEARCH CORP,0000786623,2834,1996-08-13
"AEON Biopharma, Inc.",0001837607,2834,2021-01-21
"Aimmune Therapeutics, Inc.",0001631650,2834,2015-07-06
"Akebia Therapeutics, Inc.",0001517022,2834,2014-02-14
"Aktis Oncology, Inc.",0002035832,2834,2025-12-19
Alexza Pharmaceuticals Inc.,0001344413,2834,2005-12-22
ALGOS PHARMACEUTICAL CORP,0000924862,2834,1996-05-22
"Allarity Therapeutics, Inc.",0001860657,2834,2021-09-13
ALLERGAN SPECIALTY THERAPEUTICS INC,0001049711,2834,1997-11-19
ALLOS THERAPEUTICS INC,0001097264,2834,2000-01-26
"ALPINE IMMUNE SCIENCES, INC.",0001626199,2834,2015-05-13
"Altimmune, Inc.",0001326190,2834,2018-07-30
AMERICAN BIO MEDICA CORP,0000896747,2834,2014-04-07
ANDRX CORP,0000911755,2834,1996-12-06
"ANESIVA, INC.",0001131517,2834,2003-12-04
ANESTA CORP /DE/,0000915916,2834,1996-05-31
"Apexigen, Inc.",0001814140,2834,2020-08-14
"Applied Therapeutics, Inc.",0001697532,2834,2019-04-12
"Aquestive Therapeutics, Inc.",0001398733,2834,2007-05-14
Aralez Pharmaceuticals Plc,0001648419,2834,2015-08-07
Archemix Corp.,0001143527,2834,2007-07-25
"Arcutis Biotherapeutics, Inc.",0001787306,2834,2020-01-06
"Ardea Biosciences, Inc./DE",0001103390,2834,2000-01-27
"Aridis Pharmaceuticals, Inc.",0001614067,2834,2018-07-18
ARONEX PHARMACEUTICALS INC,0000854691,2834,1998-11-20
"ARROWHEAD PHARMACEUTICALS, INC.",0000879407,2834,2009-12-28
"ARYx Therapeutics, Inc.",0001410064,2834,2007-08-30
ASCENT PEDIATRICS INC,0001019731,2834,1997-03-14
"Aspire Biopharma Holdings, Inc.",0001847345,2834,2021-12-30
"Astria Therapeutics, Inc.",0001454789,2834,2015-05-13
ATHEROGENICS INC,0001107601,2834,2000-02-25
"Avalo Therapeutics, Inc.",0001534120,2834,2016-09-16
"AVEO PHARMACEUTICALS, INC.",0001325879,2834,2010-11-10
"AYTU BIOPHARMA, INC",0001385818,2834,2015-07-01
"Bellerophon Therapeutics, Inc.",0001600132,2834,2015-01-13
BENTLEY PHARMACEUTICALS INC,0000821616,2834,1995-12-18
BIGMAR INC,0001012466,2834,1996-06-17
"Bio Green Med Solution, Inc.",0001130166,2834,2010-06-11
"Biomea Fusion, Inc.",0001840439,2834,2021-03-26
BIOTRANSPLANT INC,0000880259,2834,1996-05-07
BONE CARE INTERNATIONAL INC,0001009405,2834,1998-01-08
BriaCell Therapeutics Corp.,0001610820,2834,2025-04-22
"Cadrenal Therapeutics, Inc.",0001937993,2834,2022-09-22
"CANNAPHARMARX, INC.",0001081938,2834,2000-04-14
Carisma Therapeutics Inc.,0001485003,2834,2013-12-30
CELL PATHWAYS INC,0000925732,2834,1997-10-09
"Cellectar Biosciences, Inc.",0001279704,2834,2011-07-01
CENTAUR PHARMACEUTICALS INC,0000911369,2834,1998-06-18
"Cerevel Therapeutics Holdings, Inc.",0001805387,2834,2020-05-19
"CHEMBIO DIAGNOSTICS, INC.",0001092662,2834,2010-03-25
"China Kangtai Cactus Bio-tech, Inc.",0001017699,2834,2008-05-07
CHIREX INC,0001005407,2834,1997-02-26
CIMA LABS INC,0000833298,2834,1996-05-08
COLLAGENEX PHARMACEUTICALS INC,0001012270,2834,1997-03-28
CONNETICS CORP,0001004960,2834,1997-11-26
CONTROL DELIVERY SYSTEMS INC/MA,0001123959,2834,2000-12-15
CORVAS INTERNATIONAL INC,0000882100,2834,1996-06-24
"Corvus Pharmaceuticals, Inc.",0001626971,2834,2016-01-04
COULTER PHARMACEUTICALS INC,0000942416,2834,1996-12-11
CRESCENDO PHARMACEUTICALS CORP,0001042138,2834,1997-07-15
"Cryoport, Inc.",0001124524,2834,2008-07-14
"CyDex Pharmaceuticals, Inc.",0001036279,2834,2008-03-12
"CymaBay Therapeutics, Inc.",0001042074,2834,2013-11-29
CYPHERPUNK TECHNOLOGIES INC.,0001509745,2834,2019-07-31
CytoDyn Inc.,0001175680,2834,2015-06-08
CYTOGEN CORP,0000725058,2834,1998-11-25
"Dare Bioscience, Inc.",0001401914,2834,2014-03-10
DEPOTECH CORP,0000931686,2834,1996-07-10
"Dermata Therapeutics, Inc.",0001853816,2834,2021-06-10
DEY INC,0001066046,2834,1998-07-24
"Diadexus, Inc.",0001036968,2834,1999-05-07
"Dianthus Therapeutics, Inc. /DE/",0001690585,2834,2018-05-24
DMK PHARMACEUTICALS Corp,0000887247,2834,2013-08-23
DURA PHARMACEUTICALS INC,0000882098,2834,1997-10-10
"Durata Therapeutics, Inc.",0001544116,2834,2012-03-22
"Edesa Biotech, Inc.",0001540159,2834,2018-04-17
ELECTROPHARMACOLOGY INC,0000934849,2834,1998-11-09
