name,cik,ticker,founding_date,s1_filing_date,state,city,sic_code,status,current_price,market_cap,exchange,exit_type,exit_date,exit_details,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct
"2seventy bio, Inc.",0001860782,,2021-04-26,2022-04-28,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
"60 DEGREES PHARMACEUTICALS, INC.",0001946563,SXTP,2022-06-01,2023-01-31,DC,WASHINGTON,2834,trading,3.865,4975001,NCM,,,,938,2023-07-12,1123.2,2026-02-04,3.87,2023-07-12,1123.2,0.0,1.86,-99.7
"89bio, Inc.",0001785173,ETNB,2018-01-01,2019-10-11,CA,SAN FRANCISCO,2834,never_traded,,,,,,,,,,,,,,,,
"9 METERS BIOPHARMA, INC.",0001551986,,2010-11-01,2015-11-10,NC,RALEIGH,2834,no_ticker,,,,,,,,,,,,,,,,
"Aardvark Therapeutics, Inc.",0001774857,AARD,2024-10-01,2025-01-23,CA,SAN DIEGO,2834,trading,12.56,273472320,NMS,,,,356,2025-02-13,14.31,2026-02-04,12.56,2025-10-07,17.41,21.7,7.0,-12.2
AbCellera Biologics Inc.,0001703057,ABCL,2008-01-01,2020-11-20,A1,VANCOUVER,2834,trading,3.33,996785664,NMS,,,,1881,2020-12-11,58.9,2026-02-04,3.33,2020-12-11,58.9,0.0,1.93,-94.3
ABEONA THERAPEUTICS INC.,0000318306,ABEO,2005-02-01,2008-03-11,OH,CLEVELAND,2834,trading,5.095,276104960,NCM,,,,16574,1980-09-19,2291929.75,2026-02-04,5.09,1981-05-21,4870351.0,112.5,2.25,-100.0
Abpro Corp,0001670356,,2004-08-01,2018-04-11,MA,WOBURN,2834,no_ticker,,,,,,,,,,,,,,,,
"Accelerated Pharma, Inc.",0001630970,,2014-05-01,2016-10-11,IL,BURR RIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
Accustem Sciences Inc.,0001850767,ACUT,2021-07-28,2022-11-17,NY,NEW YORK,2834,trading,0.58146,9345381,OQB,,,,1433,2022-03-03,2.0,2026-02-03,0.58,2022-03-04,3.0,50.0,0.22,-70.9
"Achaogen, Inc.",0001301501,,2002-01-01,2014-01-24,CA,SOUTH SAN FRANCISCO,2834,no_ticker,,,,,,,,,,,,,,,,
