name,cik,ticker,founding_date,s1_filing_date,status,primary_disease_area,disease_areas,modality_category,modality_subtype,modality_details,targets,lead_stage,pipeline_summary,extraction_source,acquirer,cagr_pct,city,current_price,exchange,exit_date,exit_details,exit_type,market_cap,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct,sic_code,state
"2seventy bio, Inc.",0001860782,,2021-04-26,2022-04-28,acquired,oncology,"oncology,hematology",other,car_t,"car_t,cell_therapy,gene_therapy","CD33,BCMA,MUC16,CD38,TGF-beta",approved,Develops engineered CAR-T cell therapies for cancer including approved ABECMA for multiple myeloma and pipeline candidates for acute myeloid leukemia and B-cell lymphomas.,s1_filing,,,CAMBRIDGE,,,2025-05-13,,acquired,,,,,,,,,,,,2834,MA
"60 DEGREES PHARMACEUTICALS, INC.",0001946563,SXTP,2022-06-01,2023-01-31,trading,infectious_disease,infectious_disease,small_molecule,small_molecule,small_molecule,"Tafenoquine,Celgosivir,Castanospermine",approved,"Develops small molecule therapeutics for infectious diseases including malaria, tick-borne diseases, fungal infections, and viral diseases, with approved drug Arakoda and pipeline candidates Celgosivir and botanical extracts.",s1_filing,,-89.0,WASHINGTON,3.865,NCM,,,,4975001,938,2023-07-12,1123.2,2026-02-04,3.87,2023-07-12,1123.2,0.0,1.86,-99.7,2834,DC
"89bio, Inc.",0001785173,ETNB,2018-01-01,2019-10-11,never_traded,metabolic,"metabolic,gastroenterology,cardiovascular",biologic,protein,protein,"FGF21,FGFR1c,FGFR2c,FGFR3c",phase_2,"Develops BIO89-100, a glycoPEGylated FGF21 analog for treating NASH and severe hypertriglyceridemia targeting metabolic dysregulation in liver and cardio-metabolic diseases.",s1_filing,,,SAN FRANCISCO,,,,,,,,,,,,,,,,,2834,CA
"9 METERS BIOPHARMA, INC.",0001551986,,2010-11-01,2015-11-10,acquired,,,,,,,,,,"MD Holding Co., Inc.",,RALEIGH,,,2017-10-12,,acquired,,,,,,,,,,,,2834,NC
"Aardvark Therapeutics, Inc.",0001774857,AARD,2024-10-01,2025-01-23,trading,metabolic,"metabolic,rare_disease",small_molecule,small_molecule,small_molecule,"TAS2R,CCK,GLP-1,DPP-4",phase_3,Develops small-molecule therapeutics targeting Bitter Taste Receptors (TAS2Rs) to treat hyperphagia and metabolic diseases including Prader-Willi Syndrome and obesity.,s1_filing,,-12.5,SAN DIEGO,12.56,NMS,,,,273472320,356,2025-02-13,14.31,2026-02-04,12.56,2025-10-07,17.41,21.7,7.0,-12.2,2834,CA
AbCellera Biologics Inc.,0001703057,ABCL,2008-01-01,2020-11-20,trading,,,,,,,unknown,,s1_filing,,-42.8,VANCOUVER,3.33,NMS,,,,996785664,1881,2020-12-11,58.9,2026-02-04,3.33,2020-12-11,58.9,0.0,1.93,-94.3,2834,A1
ABEONA THERAPEUTICS INC.,0000318306,ABEO,2005-02-01,2008-03-11,trading,oncology,"oncology,gastroenterology",other,nanopolymer_drug_delivery,"nanopolymer_drug_delivery,mucoadhesive_hydrogel,vitamin_b12_delivery",vitamin_b12_receptor,approved,"Develops nanopolymer-based drug delivery technologies and mucoadhesive formulations primarily for cancer-related conditions including oral mucositis and radiation proctitis, with one marketed product MuGard.",s1_filing,,-24.9,CLEVELAND,5.095,NCM,,,,276104960,16574,1980-09-19,2291929.75,2026-02-04,5.09,1981-05-21,4870351.0,112.5,2.25,-100.0,2834,OH
Abpro Corp,0001670356,,2004-08-01,2018-04-11,delisted,oncology,"oncology,ophthalmology,immunology",biologic,bispecific,"bispecific,antibody","HER2,CD3,VEGF,ANG-2",preclinical,"Develops next-generation tetravalent bispecific antibody therapeutics for immuno-oncology, ophthalmology, and autoimmunity using proprietary DiversImmune and MultiMab platforms.",s1_filing,,,WOBURN,,,2018-05-17,,delisted,,,,,,,,,,,,2834,MA
"Accelerated Pharma, Inc.",0001630970,,2014-05-01,2016-10-11,ipo_withdrawn,oncology,oncology,small_molecule,small_molecule,small_molecule,platinum,unknown,"Develops Picoplatin, a next-generation platinum-based cancer therapy, using genomic technology to identify patients who may respond to treatment across multiple cancer indications.",s1_filing,,,BURR RIDGE,,,2017-08-23,,ipo_withdrawn,,,,,,,,,,,,2834,IL
Accustem Sciences Inc.,0001850767,ACUT,2021-07-28,2022-11-17,trading,oncology,oncology,other,genomic_diagnostics,genomic_diagnostics,,unknown,"Develops genomic diagnostic tests including StemPrintER, a 20-gene prognostic assay for predicting distant recurrence risk in early stage breast cancer patients.",s1_filing,,-27.1,NEW YORK,0.58146,OQB,,,,9345381,1433,2022-03-03,2.0,2026-02-03,0.58,2022-03-04,3.0,50.0,0.22,-70.9,2834,NY
"Achaogen, Inc.",0001301501,,2002-01-01,2014-01-24,bankrupt,infectious_disease,infectious_disease,both,small_molecule,"small_molecule,antibody","LpxC,Enterobacteriaceae,Pseudomonas aeruginosa",phase_3,"Develops novel antibacterials including plazomicin to treat multi-drug resistant gram-negative bacterial infections, particularly carbapenem-resistant Enterobacteriaceae.",s1_filing,,,SOUTH SAN FRANCISCO,,,2019-04-23,,bankrupt,,,,,,,,,,,,2834,CA
"Aclaris Therapeutics, Inc.",0001557746,ACRS,2012-01-01,2015-08-17,trading,dermatology,dermatology,small_molecule,small_molecule,small_molecule,JAK,phase_3,"Develops topical treatments for dermatological conditions including seborrheic keratosis and common warts using hydrogen peroxide solutions, plus JAK inhibitors for alopecia areata and other skin conditions.",s1_filing,,-10.6,WAYNE,3.47,NMS,,,,375957984,3774,2015-10-06,11.0,2026-02-04,3.47,2017-04-17,32.99,199.9,0.64,-68.5,2834,PA
"Acrivon Therapeutics, Inc.",0001781174,ACRV,2018-03-01,2022-10-17,trading,oncology,oncology,unknown,unknown,,,unknown,Develops precision oncology medicines using their proprietary proteomics-based platform AP3 to identify patients whose tumors are predicted to be sensitive to specific treatments.,s1_filing,,-50.8,WATERTOWN,1.69,NGM,,,,53328164,1177,2022-11-15,16.64,2026-02-04,1.69,2023-02-14,23.2,39.4,1.05,-89.8,2834,MA
"ACTAVIA LIFE SCIENCES, INC.",0001582249,,2012-12-06,2013-09-11,unknown,,,,,,,,,,,,NEW YORK,,,,,unknown,,,,,,,,,,,,2834,NY
"Actinium Pharmaceuticals, Inc.",0001388320,ATNM,2000-06-13,2013-03-15,trading,oncology,"oncology,hematology",biologic,adc,"adc,radioimmunotherapy",,phase_3,"Develops radioimmunotherapy antibody-drug constructs using alpha particle emitting isotopes like actinium-225 and iodine-131 for cancer treatment, with lead programs targeting acute myeloid leukemia and stem cell transplant conditioning.",s1_filing,,-24.3,NEW YORK,1.185,ASE,,,,36967132,4787,2012-12-27,45.0,2026-02-04,1.18,2014-04-23,394.5,776.7,1.06,-97.4,2834,NY
